20170901 032700;1.188900;1.188910;1.188770;1.188840;0
20170901 032800;1.188850;1.188870;1.188770;1.188780;0
20170901 032900;1.188760;1.188790;1.188720;1.188760;0
20170901 033000;1.188770;1.188880;1.188770;1.188880;0
20170901 033100;1.188880;1.188910;1.188830;1.188890;0
20170901 033200;1.188890;1.188980;1.188840;1.188960;0
20170901 033300;1.188960;1.188970;1.188930;1.188930;0
20170901 033400;1.188930;1.188930;1.188820;1.188820;0
20170901 033500;1.188840;1.188880;1.188780;1.188870;0
20170901 033600;1.188900;1.188920;1.188880;1.188900;0
20170901 033700;1.188890;1.188900;1.188710;1.188730;0
20170901 033800;1.188710;1.188710;1.188310;1.188310;0
20170901 033900;1.188340;1.188340;1.188160;1.188280;0
20170901 034000;1.188270;1.188420;1.188270;1.188360;0
20170901 034100;1.188380;1.188420;1.188350;1.188420;0
20170901 034200;1.188410;1.188410;1.188280;1.188280;0
20170901 034300;1.188290;1.188430;1.188290;1.188340;0
20170901 034400;1.188330;1.188330;1.188170;1.188170;0
20170901 034500;1.188130;1.188370;1.188130;1.188270;0
20170901 034600;1.188280;1.188280;1.188120;1.188240;0
20170901 034700;1.188250;1.188310;1.188250;1.188280;0
20170901 034800;1.188290;1.188420;1.188290;1.188420;0
20170901 034900;1.188430;1.188470;1.188310;1.188380;0
20170901 035000;1.188360;1.188360;1.188250;1.188260;0
20170901 035100;1.188240;1.188240;1.188020;1.188060;0
20170901 035200;1.188070;1.188120;1.188060;1.188060;0
20170901 035300;1.188070;1.188110;1.187890;1.188050;0
20170901 035400;1.188090;1.188190;1.187990;1.188190;0
20170901 035500;1.188180;1.188200;1.188120;1.188140;0
20170901 035600;1.188160;1.188320;1.188160;1.188280;0
20170901 035700;1.188270;1.188390;1.188260;1.188390;0
20170901 035800;1.188400;1.188690;1.188400;1.188660;0
20170901 035900;1.188660;1.188830;1.188540;1.188560;0
20170901 040000;1.188540;1.188920;1.188490;1.188920;0
20170901 040100;1.188910;1.188930;1.188230;1.188470;0
20170901 040200;1.188470;1.188470;1.188240;1.188360;0
20170901 040300;1.188380;1.188450;1.188320;1.188420;0
20170901 040400;1.188430;1.188500;1.188360;1.188470;0
20170901 040500;1.188470;1.188510;1.188430;1.188430;0
20170901 040600;1.188400;1.188470;1.188360;1.188470;0
20170901 040700;1.188470;1.188500;1.188440;1.188490;0
20170901 040800;1.188500;1.188500;1.188450;1.188480;0
20170901 040900;1.188470;1.188630;1.188470;1.188580;0
20170901 041000;1.188580;1.188810;1.188580;1.188640;0
20170901 041100;1.188640;1.188870;1.188590;1.188760;0
20170901 041200;1.188770;1.188790;1.188740;1.188780;0
20170901 041300;1.188800;1.189180;1.188800;1.189160;0
20170901 041400;1.189140;1.189360;1.189120;1.189240;0
20170901 041500;1.189240;1.189300;1.189180;1.189240;0
20170901 041600;1.189230;1.189330;1.189200;1.189290;0
20170901 041700;1.189270;1.189290;1.189110;1.189110;0
20170901 041800;1.189150;1.189170;1.189120;1.189160;0
20170901 041900;1.189160;1.189200;1.189030;1.189050;0
20170901 042000;1.189040;1.189350;1.189020;1.189310;0
20170901 042100;1.189300;1.189350;1.189280;1.189350;0
20170901 042200;1.189330;1.189330;1.189300;1.189330;0
20170901 042300;1.189340;1.189340;1.189190;1.189240;0
20170901 042400;1.189240;1.189340;1.189170;1.189260;0
20170901 042500;1.189290;1.189290;1.189230;1.189250;0
20170901 042600;1.189230;1.189330;1.189180;1.189320;0
20170901 042700;1.189330;1.189480;1.189330;1.189430;0
20170901 042800;1.189440;1.189580;1.189430;1.189570;0
20170901 042900;1.189550;1.189780;1.189540;1.189720;0
20170901 043000;1.189730;1.190170;1.189730;1.189800;0
20170901 043100;1.189820;1.189850;1.189560;1.189620;0
20170901 043200;1.189640;1.189880;1.189640;1.189840;0
20170901 043300;1.189840;1.189890;1.189730;1.189820;0
20170901 043400;1.189820;1.189820;1.189710;1.189810;0
20170901 043500;1.189830;1.190050;1.189750;1.189750;0
20170901 043600;1.189760;1.189810;1.189720;1.189720;0
20170901 043700;1.189710;1.189710;1.189500;1.189530;0
20170901 043800;1.189530;1.189530;1.189390;1.189410;0
20170901 043900;1.189420;1.189530;1.189310;1.189400;0
20170901 044000;1.189390;1.189470;1.189250;1.189420;0
20170901 044100;1.189400;1.189520;1.189320;1.189500;0
20170901 044200;1.189490;1.189510;1.189350;1.189470;0
20170901 044300;1.189470;1.189620;1.189470;1.189610;0
20170901 044400;1.189620;1.189710;1.189610;1.189630;0
20170901 044500;1.189630;1.189670;1.189490;1.189530;0
20170901 044600;1.189540;1.189570;1.189380;1.189560;0
20170901 044700;1.189570;1.189570;1.189470;1.189480;0
20170901 044800;1.189500;1.189520;1.189270;1.189270;0
20170901 044900;1.189290;1.189550;1.189290;1.189550;0
20170901 045000;1.189560;1.189720;1.189560;1.189610;0
20170901 045100;1.189620;1.189670;1.189570;1.189660;0
20170901 045200;1.189640;1.189680;1.189580;1.189610;0
20170901 045300;1.189620;1.189620;1.189510;1.189520;0
20170901 045400;1.189500;1.189500;1.189260;1.189310;0
20170901 045500;1.189340;1.189440;1.189250;1.189300;0
20170901 045600;1.189270;1.189430;1.189270;1.189430;0
20170901 045700;1.189440;1.189610;1.189390;1.189530;0
20170901 045800;1.189540;1.189770;1.189540;1.189760;0
20170901 045900;1.189750;1.189750;1.189270;1.189270;0
20170901 050000;1.189290;1.190060;1.189280;1.190000;0
20170901 050100;1.189990;1.190260;1.189890;1.190260;0
20170901 050200;1.190250;1.190420;1.190150;1.190380;0
20170901 050300;1.190380;1.190480;1.190260;1.190360;0
20170901 050400;1.190370;1.190460;1.190150;1.190170;0
20170901 050500;1.190190;1.190330;1.190050;1.190330;0
20170901 050600;1.190340;1.190400;1.190290;1.190320;0
20170901 050700;1.190320;1.190360;1.190260;1.190280;0
20170901 050800;1.190290;1.190380;1.190070;1.190120;0
20170901 050900;1.190140;1.190180;1.190030;1.190080;0
20170901 051000;1.190070;1.190090;1.189860;1.189900;0
20170901 051100;1.189880;1.189980;1.189750;1.189960;0
20170901 051200;1.189930;1.190030;1.189780;1.190020;0
20170901 051300;1.190010;1.190080;1.189970;1.190030;0
20170901 051400;1.190020;1.190180;1.190010;1.190140;0
20170901 051500;1.190140;1.190170;1.190070;1.190170;0
20170901 051600;1.190150;1.190150;1.189840;1.190010;0
20170901 051700;1.190010;1.190230;1.189990;1.190230;0
20170901 051800;1.190220;1.190250;1.190180;1.190240;0
20170901 051900;1.190240;1.190250;1.190180;1.190200;0
20170901 052000;1.190200;1.190200;1.190100;1.190160;0
20170901 052100;1.190140;1.190140;1.189960;1.189990;0
20170901 052200;1.189970;1.189970;1.189800;1.189800;0
20170901 052300;1.189800;1.189860;1.189760;1.189850;0
20170901 052400;1.189860;1.190010;1.189780;1.190010;0
20170901 052500;1.190020;1.190050;1.189950;1.189950;0
20170901 052600;1.189940;1.190000;1.189850;1.189880;0
20170901 052700;1.189890;1.190010;1.189880;1.190000;0
20170901 052800;1.189990;1.190060;1.189930;1.190030;0
20170901 052900;1.190070;1.190070;1.189950;1.189980;0
